relative_total_assets,deal_year,cross_nation,cross_industry,IG,deal_value,target_GB_amount,relative_GB_amount,has_green_bond,pscore
0.0,2008,0,1,0,249.373782354578,319621568.0,112537.2623138828,1,0.03263176733888944
0.0,2012,0,1,0,3380.5307433267,532702613.0,23480.36229473131,1,0.039807001988371386
0.0,2015,0,1,0,1808.2264853226,639243136.0,68868.4546467703,1,0.04615744402599308
0.0,2015,0,1,0,5913.07386849309,639243136.0,68868.4546467703,1,0.04615744402599308
0.7657457334999332,2016,0,1,0,372.872288529217,164393744.0,6048.090162886244,1,0.04812124130826601
0.3456168074200119,2016,0,0,0,1204.75309355846,40200169.0,1175.99890034655,1,0.029728618823643038
0.0,2016,1,0,0,802.410951775182,40200169.0,1175.99890034655,1,0.029530050350224463
7.414629431718436,2016,1,0,0,999.019,1000000000.0,36310.82062454611,1,0.027434642163045305
0.05163859744216271,2017,0,0,1,454.463106707871,97586363.0,4317.632071267248,1,0.022472832550692164
0.7848019214917876,2020,0,1,0,561.07276866316,69310636.0,6243.929661604889,1,0.058485702056742944
0.0,2020,0,1,0,265.541955587996,87139845.0,25020.73022485009,1,0.058928818415790014
0.1357102611686481,2020,0,1,1,602.381050270977,390345455.0,13439.13968449252,1,0.04253823185679373
0.0,2022,0,1,0,1598.11684330385,65057575.0,5749.071220417948,1,0.06491323454404016
0.09590439497001751,2020,0,1,0,270.851013885629,108137334.0,4840.340974034337,1,0.058874500366637876
0.0,2020,0,0,0,48.0664949086002,28006497.0,4011.341823354223,1,0.03641314376467025
0.0,2021,0,1,0,309.071240921032,71316502.0,9048.267341191831,1,0.06185345758951653
0.07949623812359222,2022,0,1,0,367.650228978127,57180432.0,1828.021277307366,1,0.06486394878979311
0.7672959771001201,2022,0,1,0,361.344208471368,69310636.0,6520.253372176336,1,0.06443898147340667
0.0,2022,1,1,0,45.972868896682,32528787.0,16275.96522802256,1,0.06428253898266781
0.6794092376568298,2021,0,0,0,45.8984605859342,28006497.0,3448.730584479259,1,0.03801111424177195
0.9261732129710597,2023,1,1,0,3582.82140516928,142633005.0,2713.189470902129,1,0.0668610016120647
0.0,2023,0,1,0,86.5434085871207,28526601.0,8190.453553930246,1,0.06811338356057957
0.0,2023,0,1,0,346.435875313109,32829940.0,24879.44665115871,1,0.06811338356057957
0.3293995749576925,2023,1,1,1,2819.67189791407,532702613.0,18054.03803849062,1,0.0487232735236209
0.0,2008,0,1,0,217.374017691558,0.0,0.0,0,0.03263176733888944
0.0,2008,0,1,0,3493.77506131506,0.0,0.0,0,0.03263176733888944
0.0,2008,0,1,0,2401.64404854427,0.0,0.0,0,0.03263176733888944
0.0,2012,0,1,0,23.4907211651398,0.0,0.0,0,0.039807001988371386
0.0,2012,0,1,0,708.241386382281,0.0,0.0,0,0.039807001988371386
0.0,2012,0,1,0,67.1163461861136,0.0,0.0,0,0.039807001988371386
0.0,2015,0,1,0,512.154916030028,0.0,0.0,0,0.04615744402599308
0.05660767190346953,2015,0,1,0,1033.31,0.0,0.0,0,0.04613198610773195
0.0,2015,1,1,0,49.885668771442,0.0,0.0,0,0.04570007322744456
0.0,2015,0,1,0,512.154916030028,0.0,0.0,0,0.04615744402599308
0.05660767190346953,2015,0,1,0,1033.31,0.0,0.0,0,0.04613198610773195
0.0,2015,1,1,0,49.885668771442,0.0,0.0,0,0.04570007322744456
0.0,2016,1,1,0,4379.67537608868,0.0,0.0,0,0.048001657946054335
0.0,2016,1,1,0,332.269082056551,0.0,0.0,0,0.048001657946054335
0.01741454731833522,2016,1,1,0,31860.277803427,0.0,0.0,0,0.0479935275287504
0.3768588057559974,2016,0,0,0,608.326493646166,0.0,0.0,0,0.02971941253238258
0.2636464477160624,2016,0,0,0,3434.071,0.0,0.0,0,0.029752786728500097
0.5073095764409388,2016,0,0,0,789.769445998881,0.0,0.0,0,0.02968100157328567
0.005488057005931082,2016,1,0,0,315.957294446976,0.0,0.0,0,0.029528443421620237
0.9767692856599954,2016,0,0,0,4016.99085159943,0.0,0.0,0,0.02954316798160586
0.07061270625390356,2016,1,0,0,367.420154347498,0.0,0.0,0,0.02950938109290078
0.2284180028972476,2021,0,0,1,10423.465,0.0,0.0,0,0.027429494075724866
3.328352602362363,2015,0,0,0,1357.46683512318,0.0,0.0,0,0.02745169063935385
0.01192812741652313,2021,0,0,1,16351.497,0.0,0.0,0,0.027488564985970822
0.02419668367969914,2017,0,0,1,648.23,0.0,0.0,0,0.022478992857497396
0.2045682563039262,2017,0,0,1,32048.945,0.0,0.0,0,0.022438532284098273
0.2169579141779864,2017,0,0,1,5784.2266060796,0.0,0.0,0,0.022435755675111076
0.609418162392743,2020,0,1,0,1174.60584931242,0.0,0.0,0,0.058584455619574136
0.0,2020,1,1,0,602.586874819312,0.0,0.0,0,0.05835263889555405
0.0,2020,1,1,0,260.002490039841,0.0,0.0,0,0.05835263889555405
0.0,2020,0,1,0,666.990773598297,0.0,0.0,0,0.058928818415790014
0.0,2020,0,1,0,572.792425827049,0.0,0.0,0,0.058928818415790014
0.0,2020,0,1,0,782.228391138551,0.0,0.0,0,0.058928818415790014
0.106350238084231,2020,0,1,1,1700.0,0.0,0.0,0,0.04255045154186159
0.3006601765119902,2020,0,1,1,1000.0,0.0,0.0,0,0.042469641777286356
0.0,2023,0,0,0,116.13636680857,0.0,0.0,0,0.04224598223408795
0.0,2022,0,1,0,102.756676091737,0.0,0.0,0,0.06491323454404016
0.0,2022,0,1,0,1844.413,0.0,0.0,0,0.06491323454404016
0.0,2022,0,1,0,36.2236800505849,0.0,0.0,0,0.06491323454404016
0.08596818102919702,2020,0,1,0,46.6216499953808,0.0,0.0,0,0.05888012583004543
0.06032040637743228,2020,0,1,0,25.3374615715044,0.0,0.0,0,0.05889464884259024
0.06032040637743228,2020,0,1,0,131.2001963944,0.0,0.0,0,0.05889464884259024
0.0,2020,0,0,0,101.402730268717,0.0,0.0,0,0.03641314376467025
0.0,2020,0,0,0,407.533464396195,0.0,0.0,0,0.03641314376467025
0.0,2020,0,0,0,208.252623666484,0.0,0.0,0,0.03641314376467025
0.0,2021,0,1,0,18.3835357054222,0.0,0.0,0,0.06185345758951653
0.0,2021,0,1,0,2029.423,0.0,0.0,0,0.06185345758951653
0.0,2021,0,1,0,281.285087863218,0.0,0.0,0,0.06185345758951653
0.0803525165855756,2022,0,1,0,23.9167447222422,0.0,0.0,0,0.06486341810737854
0.0803525165855756,2022,0,1,0,26.8481662944016,0.0,0.0,0,0.06486341810737854
0.01364648854186458,2022,0,1,0,121.195926422401,0.0,0.0,0,0.06490477157262535
0.9034949476960644,2022,0,1,0,9622.94110149689,0.0,0.0,0,0.0643551369836042
0.9034949476960644,2022,0,1,0,1809.19830626089,0.0,0.0,0,0.0643551369836042
0.6067781261575578,2022,0,1,0,209.733658957046,0.0,0.0,0,0.06453792730936846
